,City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Min Temp,Wind Speed
115,2088659,Panguna,98,PG,1644555026.05947,95,-6.3164,155.4848,71.64,71.64,3.29
116,546105,Nikolskoye,94,RU,1644555026.330531,93,59.7035,30.7861,32.4,31.8,8.23
117,605155,Kiruna,75,SE,1644555026.5985904,68,67.8557,20.2251,18.52,18.52,12.66
118,4034551,Faanui,26,PF,1644555026.8646512,72,-16.4833,-151.75,81.72,81.72,14.05
119,1282256,Hithadhoo,100,MV,1644555027.1377134,68,-0.6,73.0833,81.1,81.1,3.96
120,2163355,Hobart,40,AU,1644555027.482791,43,-42.8794,147.3294,74.01,66.06,19.57
121,2077895,Alice Springs,0,AU,1644555027.7538507,19,-23.7,133.8833,87.35,87.35,11.5
122,471308,Voyvozh,100,RU,1644555028.039916,91,62.892,54.9635,16.97,16.97,11.39
123,537541,Kvarkeno,100,RU,1644555028.3239796,95,52.0833,59.725,20.43,20.43,12.41
124,2015306,Tiksi,100,RU,1644555028.642051,93,71.6872,128.8694,-12.06,-12.06,12.06
125,380348,Abū Zabad,3,SD,1644555028.911111,24,12.35,29.25,60.15,60.15,17.22
126,1804169,Lengshuijiang,100,CN,1644555029.1781719,94,27.6881,111.4294,39.33,39.33,2.44
127,777682,Skjervøy,100,NO,1644555029.444232,60,70.0311,20.9714,32.9,32.9,27.67
128,3837702,San Fernando del Valle de Catamarca,100,AR,1644555029.7172933,46,-28.4696,-65.7852,84.78,72.05,11.01
129,545626,Kondopoga,98,RU,1644555029.987354,94,62.2057,34.2614,29.88,29.7,7.34
130,5379533,Orange Cove,0,US,1644555030.2624161,51,36.6244,-119.3137,60.57,51.85,3.76
131,1855540,Naze,46,JP,1644555030.5304759,55,28.3667,129.4833,61.72,61.72,10.11
132,477940,Ust-Tsilma,100,RU,1644555030.7995372,93,65.441,52.1498,22.48,22.48,10.36
133,2012530,Zhigansk,100,RU,1644555031.067597,96,66.7697,123.3711,-20.56,-20.56,12.68
134,3435264,Concepción del Uruguay,18,AR,1644555031.1256106,75,-32.4825,-58.2372,68.99,68.83,8.66
135,565611,Dolgorukovo,100,RU,1644555031.3966713,95,52.3195,38.3453,25.75,25.75,8.55
136,2208248,Kaitangata,16,NZ,1644555031.6687326,75,-46.2817,169.8464,61.05,61.05,7.25
137,762199,Pionki,92,PL,1644555032.0528193,60,51.476,21.4499,40.82,37.18,1.99
138,3445348,Wenceslau Braz,0,BR,1644555032.1108325,95,-23.8739,-49.8028,58.21,58.21,5.32
139,2172880,Byron Bay,11,AU,1644555032.1618433,59,-28.65,153.6167,85.05,75.31,19.86
140,1006984,East London,40,ZA,1644555032.2158563,83,-33.0153,27.9116,68.94,68.94,9.22
141,1513491,Yangi Marg`ilon,100,UZ,1644555032.498919,65,40.4272,71.7189,42.22,34.95,0.0
142,2034440,Tieli,100,CN,1644555032.76898,89,46.95,128.05,21.92,21.92,4.61
143,5563397,Eureka,0,US,1644555033.0390413,84,40.8021,-124.1637,52.99,50.61,4.14
144,2068110,Kununurra,75,AU,1644555033.444132,52,-15.7667,128.7333,94.98,94.98,5.75
145,4513583,Hamilton,0,US,1644555033.5011451,76,39.1834,-84.5333,34.43,24.6,5.75
146,1142263,Farah,1,AF,1644555033.7692056,25,32.5,62.5,51.98,51.98,2.06
147,3347019,Mossamedes,100,AO,1644555034.0372663,87,-15.1961,12.1522,72.32,72.32,3.91
148,2381334,Atar,98,MR,1644555034.357338,17,20.5169,-13.0499,66.36,66.36,10.96
149,964420,Port Elizabeth,0,ZA,1644555034.41035,82,-33.918,25.5701,61.09,61.09,4.61
150,2017155,Saskylakh,95,RU,1644555034.6774092,93,71.9167,114.0833,2.93,2.93,12.46
151,6141439,Sault Ste. Marie,100,CA,1644555034.9584732,82,46.5168,-84.3333,23.56,21.02,6.91
152,1502073,Krasnosel'kup,85,RU,1644555035.2665434,86,65.7,82.4667,-6.84,-6.84,9.98
153,1640902,Kawalu,100,ID,1644555035.535603,61,-7.3817,108.2082,84.7,84.7,1.66
154,1855342,Nishihara,40,JP,1644555035.8026633,54,26.1842,127.7558,69.46,67.28,10.36
155,5546220,Saint George,0,US,1644555036.0667229,39,37.1041,-113.5841,55.99,49.42,5.75
156,4020109,Atuona,16,PF,1644555036.3347824,74,-9.8,-139.0333,78.42,78.42,17.0
157,933288,Mopipi,72,BW,1644555036.7468765,70,-21.1833,24.8833,73.15,73.15,5.35
158,3355672,Lüderitz,45,NA,1644555037.017937,70,-26.6481,15.1594,68.63,68.63,8.03
159,1511381,Aromashevo,5,RU,1644555037.2869976,88,56.8602,68.6375,-5.76,-5.76,10.89
160,3792382,Cartagena del Chairá,95,CO,1644555037.5530572,89,1.3349,-74.8429,73.72,73.72,0.92
161,2022463,Khilok,72,RU,1644555037.8221178,75,51.3674,110.4676,-2.33,-2.33,5.84
